Rank,Ticker,Form4Ct,MostRecentUTC,CIK,Status
1,BLK,25,2026-01-22T00:38:33Z,0002012383,OK
2,RSG,22,2026-01-21T01:12:51Z,0001060391,OK
3,C,18,2026-01-20T22:15:31Z,0000831001,OK
4,TRGP,17,2026-01-20T22:28:02Z,0001389170,OK
5,GS,16,2026-01-21T21:43:46Z,0000886982,OK
6,ETR,16,2026-01-21T00:06:34Z,0000065984,OK
7,DENN,15,2026-01-20T22:32:54Z,0000852772,OK
8,NIC,14,2026-01-21T22:27:18Z,0001174850,OK
9,IONS,13,2026-01-21T01:21:43Z,0000874015,OK
10,PSX,13,2026-01-20T22:13:57Z,0001534701,OK
11,GALT,12,2026-01-21T22:03:54Z,0001133416,OK
12,COP,12,2026-01-21T00:09:06Z,0001163165,OK
13,TBN,11,2026-01-21T21:30:31Z,0001997652,OK
14,PPL,11,2026-01-21T21:15:11Z,0000922224,OK
15,AXS,11,2026-01-20T22:35:11Z,0001214816,OK
16,NYT,10,2026-01-21T22:46:38Z,0000071691,OK
17,RGA,10,2026-01-21T01:22:35Z,0000898174,OK
18,TOL,10,2026-01-20T22:26:10Z,0000794170,OK
19,FCPT,10,2026-01-20T21:30:19Z,0001650132,OK
20,ITGR,9,2026-01-22T01:53:09Z,0001114483,OK
21,LQDA,9,2026-01-21T23:28:30Z,0001819576,OK
22,PCH,9,2026-01-21T14:00:14Z,0001338749,OK
23,FDS,9,2026-01-20T22:40:30Z,0001013237,OK
24,ES,9,2026-01-20T22:11:55Z,0000072741,OK
25,CABA,8,2026-01-21T23:56:58Z,0001759138,OK
