Rank,Ticker,Form4Ct,MostRecentUTC,CIK,Status
1,PCAR,20,2026-01-08T23:51:45Z,0000075362,OK
2,HOUS,19,2026-01-09T21:10:50Z,0001398987,OK
3,ANAB,15,2026-01-10T00:16:03Z,0001370053,OK
4,TXRH,14,2026-01-10T01:00:31Z,0001289460,OK
5,KRC,14,2026-01-09T22:19:17Z,0001025996,OK
6,MPW,13,2026-01-09T23:00:12Z,0001287865,OK
7,JILL,12,2026-01-09T22:02:10Z,0001687932,OK
8,AVA,12,2026-01-08T19:55:29Z,0000104918,OK
9,ABM,11,2026-01-09T01:51:39Z,0000771497,OK
10,QSR,11,2026-01-08T21:32:56Z,0001618756,OK
11,VAC,10,2026-01-08T23:12:51Z,0001524358,OK
12,GBX,9,2026-01-09T22:31:25Z,0000923120,OK
13,UMH,9,2026-01-09T21:19:55Z,0000752642,OK
14,BIVI,8,2026-01-09T22:03:29Z,0001580149,OK
15,CERO,8,2026-01-09T21:30:24Z,0001870404,OK
16,TWO,8,2026-01-09T21:30:24Z,0001465740,OK
17,MTDR,8,2026-01-08T23:36:22Z,0001520006,OK
18,MAA,8,2026-01-08T22:02:39Z,0000912595,OK
19,DIN,8,2026-01-08T21:30:28Z,0000049754,OK
20,NAMS,7,2026-01-10T00:34:59Z,0001936258,OK
21,AMC,7,2026-01-10T00:10:42Z,0001411579,OK
22,ITRI,7,2026-01-09T23:05:32Z,0000780571,OK
23,CIO,7,2026-01-09T22:51:54Z,0001593222,OK
24,HAL,7,2026-01-09T22:47:42Z,0000045012,OK
25,HPK,7,2026-01-09T22:14:36Z,0001792849,OK
