Ticker,SurgePct,RefType,RefPrice,Price,Volume,DollarVolume,SpreadPct,OptionsEligible,Timestamp,Age,Reason,symbol,price,prev_close,open,high,low,ts_ms,source,error,category
VIX,,,,,,,,,,,missing price/change,VIX,,,,,,,,no_price,CORE
SNAP,,,,,,,,,,,missing price/change,SNAP,,,,,,,,http 429,ADDON_RANDOM
SNOW,,,,,,,,,,,missing price/change,SNOW,,,,,,,,http 429,ADDON_RANDOM
ALGS,10.16,pc,8.76,9.65,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),ALGS,9.65,8.76,8.91,9.65,8.91,1767819600000,finnhub,,CORE
AG,6.98,low,16.77,17.94,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),AG,17.94,18.72,17.67,18.03,16.77,1767819600000,finnhub,,CORE
INTC,6.47,pc,40.04,42.63,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),INTC,42.63,40.04,40.18,44.57,40.12,1767819600000,finnhub,,CORE
CRWD,4.49,pc,458.32,478.91,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),CRWD,478.91,458.32,462.97,486.55,462.284,1767819600000,finnhub,,CORE
LLY,4.14,pc,1064.04,1108.09,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),LLY,1108.09,1064.04,1077.0,1117.66,1075.96,1767819600000,finnhub,,CORE
SLV,2.51,low,69.22,70.96,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),SLV,70.96,73.71,69.82,71.545,69.22,1767819600000,finnhub,,CORE
GOOGL,2.48,low,314.19,321.98,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),GOOGL,321.98,314.34,314.36,326.15,314.19,1767819600000,finnhub,,CORE
COIN,2.36,low,240.25,245.93,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),COIN,245.93,250.56,248.28,248.9399,240.25,1767819600000,finnhub,,CORE
AVGO,2.27,low,335.88,343.5,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),AVGO,343.5,343.77,341.7,349.7,335.88,1767819600000,finnhub,,CORE
PLTR,2.26,low,177.66,181.68,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),PLTR,181.68,179.71,179.8,187.28,177.66,1767819600000,finnhub,,CORE
NOW,2.13,low,147.7512,150.9,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),NOW,150.9,148.81,148.0,152.11,147.7512,1767819600000,finnhub,,CORE
QCOM,1.74,low,177.11,180.19,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),QCOM,180.19,182.45,182.39,184.07,177.11,1767819600000,finnhub,,CORE
OPEN,1.66,low,6.02,6.12,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),OPEN,6.12,6.93,6.9,6.91,6.02,1767819600000,finnhub,,CORE
INSM,1.53,low,173.34,176.0,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),INSM,176.0,175.07,175.07,178.75,173.34,1767819600000,finnhub,,CORE
RGTI,1.51,low,24.835,25.21,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),RGTI,25.21,25.38,25.13,26.4399,24.835,1767819600000,finnhub,,CORE
LCID,1.48,low,10.84,11.0,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),LCID,11.0,11.6,11.6,11.61,10.84,1767819600000,finnhub,,ADDON_RANDOM
AMD,1.38,low,207.17,210.02,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),AMD,210.02,214.35,212.125,212.125,207.17,1767819600000,finnhub,,CORE
NVDA,1.37,low,186.56,189.11,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),NVDA,189.11,187.24,188.57,191.37,186.56,1767819600000,finnhub,,CORE
JNJ,1.32,pc,204.79,207.49,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),JNJ,207.49,204.79,205.26,208.26,205.03,1767819600000,finnhub,,CORE
CRM,1.22,pc,262.9,266.12,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),CRM,266.12,262.9,263.5,267.825,263.5,1767819600000,finnhub,,ADDON_RANDOM
CHPT,1.16,low,6.92,7.0,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),CHPT,7.0,7.19,7.12,7.1774,6.92,1767819600000,finnhub,,CORE
MSFT,1.15,low,477.95,483.47,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),MSFT,483.47,478.51,479.755,489.7,477.95,1767819600000,finnhub,,CORE
UNH,1.08,low,338.04,341.7,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),UNH,341.7,348.97,348.98,350.11,338.04,1767819600000,finnhub,,CORE
AMZN,0.85,low,239.52,241.56,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),AMZN,241.56,240.93,239.61,245.29,239.52,1767819600000,finnhub,,CORE
GS,0.75,low,934.0,941.02,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),GS,941.02,955.47,956.88,958.25,934.0,1767819600000,finnhub,,CORE
NFLX,0.74,low,90.06,90.73,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),NFLX,90.73,90.65,91.555,92.419,90.06,1767819600000,finnhub,,CORE
JPM,0.74,low,324.6,326.99,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),JPM,326.99,334.61,331.14,332.1499,324.6,1767819600000,finnhub,,CORE
MU,0.7,low,337.1801,339.55,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),MU,339.55,343.43,340.71,346.3,337.1801,1767819600000,finnhub,,CORE
WFC,0.68,low,93.65,94.29,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),WFC,94.29,96.39,95.71,95.89,93.65,1767819600000,finnhub,,CORE
META,0.6,low,644.81,648.69,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),META,648.69,660.62,655.64,659.15,644.81,1767819600000,finnhub,,CORE
MRK,0.6,low,107.95,108.6,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),MRK,108.6,108.87,109.505,111.46,107.95,1767819600000,finnhub,,CORE
IWM,0.59,low,253.97,255.48,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),IWM,255.48,256.08,256.4,256.795,253.97,1767819600000,finnhub,,CORE
PFE,0.56,low,25.14,25.28,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),PFE,25.28,25.43,25.59,25.81,25.14,1767819600000,finnhub,,CORE
BBAI,0.5,low,5.96,5.99,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),BBAI,5.99,6.41,6.15,6.35,5.96,1767819600000,finnhub,,CORE
HON,0.5,low,198.5245,199.51,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),HON,199.51,204.94,205.11,206.0,198.5245,1767819600000,finnhub,,CORE
MCD,0.46,pc,302.77,304.16,,,,N,2026-01-08T00:46:16Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),MCD,304.16,302.77,305.325,307.0,303.31,1767819600000,finnhub,,CORE
ORCL,0.44,low,192.0,192.84,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),ORCL,192.84,193.75,195.3,195.67,192.0,1767819600000,finnhub,,CORE
SLB,0.4,low,42.2,42.37,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),SLB,42.37,43.63,43.89,43.9,42.2,1767819600000,finnhub,,CORE
KO,0.4,low,67.274,67.54,,,,N,2026-01-08T00:46:16Z,13s,below_threshold(17.0%);low_volume(<1000000),KO,67.54,67.84,67.99,68.07,67.274,1767819600000,finnhub,,CORE
