Rank,Ticker,Form4Ct,MostRecentUTC,CIK,Status
1,PGR,19,2026-01-12T16:33:50Z,0000080661,OK
2,HOUS,19,2026-01-09T21:10:50Z,0001398987,OK
3,STAG,16,2026-01-12T22:09:16Z,0001479094,OK
4,ADT,14,2026-01-12T22:12:21Z,0001703056,OK
5,TXRH,14,2026-01-10T01:00:31Z,0001289460,OK
6,KRC,14,2026-01-09T22:19:17Z,0001025996,OK
7,VSNT,13,2026-01-12T23:18:49Z,0002067876,OK
8,UMH,13,2026-01-12T18:01:34Z,0000752642,OK
9,MPW,13,2026-01-09T23:00:12Z,0001287865,OK
10,JILL,12,2026-01-09T22:02:10Z,0001687932,OK
11,CBT,11,2026-01-12T22:00:13Z,0000016040,OK
12,TWO,11,2026-01-12T21:18:02Z,0001465740,OK
13,HAL,10,2026-01-12T20:37:03Z,0000045012,OK
14,PRAX,9,2026-01-12T22:51:02Z,0001689548,OK
15,STLD,9,2026-01-12T21:31:24Z,0001022671,OK
16,COMM,9,2026-01-12T21:25:12Z,0001517228,OK
17,AMC,9,2026-01-12T16:00:41Z,0001411579,OK
18,GBX,9,2026-01-09T22:31:25Z,0000923120,OK
19,AM,8,2026-01-12T23:04:28Z,0001623925,OK
20,SWX,8,2026-01-12T22:51:24Z,0001692115,OK
21,LEG,8,2026-01-12T22:18:46Z,0000058492,OK
22,ABM,8,2026-01-12T21:39:47Z,0000771497,OK
23,BIVI,8,2026-01-09T22:03:29Z,0001580149,OK
24,CERO,8,2026-01-09T21:30:24Z,0001870404,OK
25,BTAI,7,2026-01-13T00:09:53Z,0001720893,OK
