Rank,Ticker,Form4Ct,MostRecentUTC,CIK,Status
1,PGR,19,2026-01-12T16:33:50Z,0000080661,OK
2,BRT,17,2026-01-13T23:21:50Z,0000014846,OK
3,STAG,16,2026-01-12T22:09:16Z,0001479094,OK
4,ADT,14,2026-01-12T22:12:21Z,0001703056,OK
5,TXRH,14,2026-01-10T01:00:31Z,0001289460,OK
6,XRAY,13,2026-01-13T21:39:32Z,0000818479,OK
7,VSNT,13,2026-01-12T23:18:49Z,0002067876,OK
8,ZYME,11,2026-01-13T22:11:03Z,0001937653,OK
9,CBT,11,2026-01-12T22:00:13Z,0000016040,OK
10,TRC,10,2026-01-13T22:09:10Z,0000096869,OK
11,MAIN,10,2026-01-13T21:30:46Z,0001396440,OK
12,SWX,9,2026-01-14T02:42:18Z,0001692115,OK
13,PRAX,9,2026-01-14T01:20:33Z,0001689548,OK
14,RL,9,2026-01-13T21:14:03Z,0001037038,OK
15,LSTA,9,2026-01-13T21:09:54Z,0000320017,OK
16,STLD,9,2026-01-12T21:31:24Z,0001022671,OK
17,COMM,9,2026-01-12T21:25:12Z,0001517228,OK
18,HTGC,8,2026-01-13T23:46:29Z,0001280784,OK
19,COCP,8,2026-01-13T22:03:55Z,0001412486,OK
20,LQDA,8,2026-01-13T21:36:48Z,0001819576,OK
21,EHAB,8,2026-01-13T01:51:15Z,0001803737,OK
22,AM,8,2026-01-12T23:04:28Z,0001623925,OK
23,LEG,8,2026-01-12T22:18:46Z,0000058492,OK
24,ABM,8,2026-01-12T21:39:47Z,0000771497,OK
25,TENX,7,2026-01-14T02:49:18Z,0000034956,OK
