Ticker,SurgePct,RefType,RefPrice,Price,Volume,DollarVolume,SpreadPct,OptionsEligible,Timestamp,Age,Reason,symbol,price,prev_close,open,high,low,ts_ms,source,error,category
VIX,,,,,,,,,,,missing price/change,VIX,,,,,,,,no_price,CORE
MU,10.51,pc,285.41,315.42,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),MU,315.42,285.41,295.135,315.6,294.86,1767387600000,finnhub,,CORE
RGTI,9.16,low,21.62,23.6,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),RGTI,23.6,22.15,22.57,24.005,21.62,1767387600000,finnhub,,CORE
BBAI,8.15,pc,5.4,5.84,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),BBAI,5.84,5.4,5.609999999999999,5.85,5.42,1767387600000,finnhub,,CORE
INTC,6.72,pc,36.9,39.38,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),INTC,39.38,36.9,37.78,39.86,37.76,1767387600000,finnhub,,CORE
CHPT,6.02,pc,6.64,7.04,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),CHPT,7.04,6.64,6.75,7.15,6.71,1767387600000,finnhub,,CORE
BA,5.82,low,215.24,227.77,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),BA,227.77,217.12,218.16,227.77,215.24,1767387600000,finnhub,,CORE
SLB,5.61,low,38.065,40.2,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),SLB,40.2,38.38,38.419999999999995,40.4363,38.065,1767387600000,finnhub,,CORE
COIN,4.7,low,225.91,236.53,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),COIN,236.53,226.14,230.605,238.49,225.91,1767387600000,finnhub,,CORE
CAT,4.46,pc,572.87,598.41,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),CAT,598.41,572.87,577.6,599.61,575.31,1767387600000,finnhub,,CORE
AMD,4.35,pc,214.16,223.47,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),AMD,223.47,214.16,218.91,227.15,218.895,1767387600000,finnhub,,CORE
HOOD,4.35,low,110.41,115.21,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),HOOD,115.21,113.1,115.488,116.03,110.41,1767387600000,finnhub,,CORE
GE,4.13,pc,308.03,320.75,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),GE,320.75,308.03,309.76,320.98,308.66,1767387600000,finnhub,,CORE
OPEN,4.12,pc,5.83,6.07,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),OPEN,6.07,5.83,5.93,6.15,5.85,1767387600000,finnhub,,CORE
GS,4.02,pc,879.0,914.34,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),GS,914.34,879.0,884.01,914.44,880.75,1767387600000,finnhub,,CORE
COP,3.83,low,93.13,96.7,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),COP,96.7,93.61,93.62,96.94,93.13,1767387600000,finnhub,,CORE
AG,3.35,low,15.54,16.06,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),AG,16.06,16.66,17.05,17.27,15.54,1767387600000,finnhub,,CORE
CVX,3.07,low,151.25,155.9,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),CVX,155.9,152.41,152.17499999999998,155.9,151.25,1767387600000,finnhub,,CORE
LOW,2.88,low,239.97,246.89,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),LOW,246.89,241.16,241.51,247.225,239.97,1767387600000,finnhub,,ADDON_RANDOM
UNH,2.72,low,327.5,336.4,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),UNH,336.4,330.11,330.905,340.2578,327.5,1767387600000,finnhub,,CORE
RIVN,2.7,low,18.9,19.41,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),RIVN,19.41,19.71,19.790000000000003,20.71,18.9,1767387600000,finnhub,,ADDON_RANDOM
MS,2.69,low,177.14,181.9,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),MS,181.9,177.53,178.52499999999998,181.96,177.14,1767387600000,finnhub,,CORE
LLY,2.69,low,1052.08,1080.36,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),LLY,1080.36,1074.68,1076.41,1080.66,1052.08,1767387600000,finnhub,,CORE
TMO,2.69,low,577.0,592.51,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),TMO,592.51,579.45,579.51,593.71,577.0,1767387600000,finnhub,,ADDON_RANDOM
WFC,2.58,low,92.805,95.2,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),WFC,95.2,93.2,93.31,95.345,92.805,1767387600000,finnhub,,CORE
XOM,2.54,low,119.6067,122.65,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),XOM,122.65,120.34,120.10000000000001,122.68,119.6067,1767387600000,finnhub,,CORE
INSM,2.06,low,173.55,177.12,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),INSM,177.12,174.04,175.79999999999998,177.9,173.55,1767387600000,finnhub,,CORE
SLV,2.06,pc,64.42,65.75,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),SLV,65.75,64.42,67.31,67.36,64.745,1767387600000,finnhub,,CORE
BAC,1.95,low,54.88,55.95,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),BAC,55.95,55.0,55.04,55.99,54.88,1767387600000,finnhub,,CORE
MRK,1.93,low,104.43,106.45,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),MRK,106.45,105.26,105.54,106.6248,104.43,1767387600000,finnhub,,CORE
JNJ,1.8,low,203.68,207.35,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),JNJ,207.35,206.95,206.82999999999998,207.385,203.68,1767387600000,finnhub,,CORE
GOOGL,1.55,low,310.33,315.15,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),GOOGL,315.15,313.0,316.90999999999997,322.5,310.33,1767387600000,finnhub,,CORE
JPM,1.48,low,320.74,325.48,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),JPM,325.48,322.22,322.51,325.73,320.74,1767387600000,finnhub,,CORE
PFE,1.41,low,24.83,25.18,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),PFE,25.18,24.9,24.990000000000002,25.3,24.83,1767387600000,finnhub,,CORE
HON,1.31,low,193.35,195.88,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),HON,195.88,195.09,195.7,196.583,193.35,1767387600000,finnhub,,CORE
NVDA,1.26,pc,186.5,188.85,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),NVDA,188.85,186.5,189.845,192.9299,188.26,1767387600000,finnhub,,CORE
NOW,1.24,low,145.64,147.45,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),NOW,147.45,153.19,153.09,153.2,145.64,1767387600000,finnhub,,CORE
IWM,1.19,low,245.86,248.78,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),IWM,248.78,246.16,247.64,249.09,245.86,1767387600000,finnhub,,CORE
NKE,1.17,low,62.55,63.28,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),NKE,63.28,63.71,64.01,64.13,62.55,1767387600000,finnhub,,CORE
QCOM,1.13,pc,171.05,172.98,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),QCOM,172.98,171.05,173.808,174.68,172.2,1767387600000,finnhub,,CORE
DIA,1.1,low,478.38,483.63,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),DIA,483.63,480.57,481.86,483.95,478.38,1767387600000,finnhub,,CORE
META,1.07,low,643.5,650.41,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),META,650.41,660.09,662.735,664.39,643.5,1767387600000,finnhub,,CORE
MCD,0.99,low,300.2919,303.26,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),MCD,303.26,305.63,305.3,305.55,300.2919,1767387600000,finnhub,,CORE
CRWD,0.92,low,449.455,453.58,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),CRWD,453.58,468.76,474.01,474.01,449.455,1767387600000,finnhub,,CORE
PLTR,0.91,low,166.35,167.86,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),PLTR,167.86,177.75,181.31,181.35,166.35,1767387600000,finnhub,,CORE
IBM,0.87,low,289.0,291.5,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),IBM,291.5,296.21,297.57,297.57,289.0,1767387600000,finnhub,,CORE
AMZN,0.8,low,224.7,226.5,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),AMZN,226.5,230.82,231.35,235.458,224.7,1767387600000,finnhub,,CORE
ORCL,0.77,low,194.21,195.71,,,,N,2026-01-04T19:47:10Z,13s,below_threshold(17.0%);low_volume(<1000000),ORCL,195.71,194.91,197.48,198.59,194.21,1767387600000,finnhub,,CORE
AAPL,0.75,low,269.0,271.01,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),AAPL,271.01,271.86,272.265,277.84,269.0,1767387600000,finnhub,,CORE
TSLA,0.64,low,435.3,438.07,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),TSLA,438.07,449.72,457.81,458.34,435.3,1767387600000,finnhub,,CORE
AVGO,0.6,low,345.56,347.62,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),AVGO,347.62,346.1,352.78499999999997,360.66,345.56,1767387600000,finnhub,,CORE
MSFT,0.59,low,470.16,472.94,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),MSFT,472.94,483.62,484.395,484.66,470.16,1767387600000,finnhub,,CORE
SPY,0.49,low,679.82,683.17,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),SPY,683.17,681.92,685.72,686.87,679.82,1767387600000,finnhub,,CORE
QQQ,0.49,low,610.15,613.12,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),QQQ,613.12,614.31,620.0699999999999,622.85,610.15,1767387600000,finnhub,,CORE
CRM,0.45,low,252.48,253.62,,,,N,2026-01-04T19:47:10Z,13s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),CRM,253.62,264.91,265.01,265.38,252.48,1767387600000,finnhub,,ADDON_RANDOM
