Ticker,Flag,Score14d,Score30d,ScoreBlend,Buyers14d,Buyers30d,TotalBuy$14d,TotalBuy$30d,C_Suite14d,C_Suite30d,LastBuyAgeDays,LastBuyAge14d,LastBuyAge30d,Notes,DataQuality
BRT,NONE,0.0,0.0,0.0,0,0,0,0,N,N,—,—,—,,OK
ZYME,NONE,0.0,0.0,0.0,0,0,0,0,N,N,—,—,—,,OK
SWX,NONE,0.0,0.0,0.0,0,0,0,0,N,N,—,—,—,,OK
MOVE,NONE,0.0,0.0,0.0,0,0,0,0,N,N,—,—,—,,OK
SKWD,NONE,0.0,0.0,0.0,0,0,0,0,N,N,—,—,—,,OK
COCP,NONE,0.0,100.0,30.0,0,1,0,129786,N,N,12,—,12,,OK
LQDA,NONE,0.0,0.0,0.0,0,0,0,0,N,N,—,—,—,,OK
