Rank,Ticker,Form4Ct,MostRecentUTC,CIK,Status
1,JPM,21,2026-01-22T22:03:43Z,0000019617,OK
2,MATX,17,2026-01-23T02:18:41Z,0000003453,OK
3,VNRX,16,2026-01-23T21:08:46Z,0000093314,OK
4,ERIE,16,2026-01-23T14:29:23Z,0000922621,OK
5,MTCH,15,2026-01-23T22:16:31Z,0000891103,OK
6,FYBR,15,2026-01-22T21:02:02Z,0000020520,OK
7,ATXS,14,2026-01-23T21:37:09Z,0001454789,OK
8,GMED,13,2026-01-23T22:12:35Z,0001237831,OK
9,BHRB,13,2026-01-23T15:25:13Z,0001964333,OK
10,ISTR,12,2026-01-23T23:04:24Z,0001602658,OK
11,FSFG,12,2026-01-23T19:41:31Z,0001435508,OK
12,CHMG,12,2026-01-23T18:20:17Z,0000763563,OK
13,UMH,10,2026-01-23T20:10:08Z,0000752642,OK
14,NJR,10,2026-01-23T19:50:51Z,0000356309,OK
15,OC,9,2026-01-23T21:19:48Z,0001370946,OK
16,SYF,9,2026-01-23T21:14:18Z,0001601712,OK
17,COLB,9,2026-01-22T23:13:06Z,0000887343,OK
18,PCH,9,2026-01-21T14:00:14Z,0001338749,OK
19,TRUE,8,2026-01-24T00:08:45Z,0001327318,OK
20,SLNO,8,2026-01-23T23:08:14Z,0001484565,OK
21,SLB,8,2026-01-23T23:06:38Z,0000087347,OK
22,EPSN,8,2026-01-23T21:59:53Z,0001726126,OK
23,LSBK,8,2026-01-23T21:35:05Z,0002059653,OK
24,NI,8,2026-01-23T21:23:44Z,0001111711,OK
25,AYI,8,2026-01-23T21:14:28Z,0001144215,OK
