Ticker,SurgePct,RefType,RefPrice,Price,Volume,DollarVolume,SpreadPct,OptionsEligible,Timestamp,Age,Reason,symbol,price,prev_close,open,high,low,ts_ms,source,error,category
VIX,,,,,,,,,,,missing price/change,VIX,,,,,,,,no_price,CORE
OPEN,17.5,pc,6.43,7.555,,,,N,2026-01-09T18:03:09Z,22s,low_volume(<1000000),OPEN,7.555,6.43,7.13,7.92,7.08,1767981695000,finnhub,,CORE
INTC,9.74,pc,41.11,45.115,,,,N,2026-01-09T18:03:09Z,22s,below_threshold(17.0%);low_volume(<1000000),INTC,45.115,41.11,41.81,45.22,41.57,1767981696000,finnhub,,CORE
MU,4.23,low,326.19,340.0,,,,N,2026-01-09T18:03:09Z,22s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),MU,340.0,327.02,327.49,342.54,326.19,1767981694000,finnhub,,CORE
ORCL,4.11,low,188.78,196.545,,,,N,2026-01-09T18:03:09Z,22s,below_threshold(17.0%);low_volume(<1000000),ORCL,196.545,189.65,189.59,197.95,188.78,1767981696000,finnhub,,CORE
TSLA,3.92,low,430.39,447.27,,,,N,2026-01-09T18:03:09Z,22s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),TSLA,447.27,435.8,436.11,448.15,430.39,1767981696000,finnhub,,CORE
AVGO,3.74,pc,332.48,344.905,,,,N,2026-01-09T18:03:09Z,22s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),AVGO,344.905,332.48,334.09,346.0699,333.5,1767981694000,finnhub,,CORE
SLV,3.5,pc,69.71,72.15,,,,N,2026-01-09T18:03:09Z,22s,below_threshold(17.0%);low_volume(<1000000),SLV,72.15,69.71,70.27,72.99,70.27,1767981694000,finnhub,,CORE
INSM,3.36,open,167.6,173.23,,,,N,2026-01-09T18:03:09Z,22s,below_threshold(17.0%);low_volume(<1000000),INSM,173.23,170.27,167.6,186.19,167.6,1767981687000,finnhub,,CORE
AG,3.13,pc,17.9,18.46,,,,N,2026-01-09T18:03:09Z,22s,below_threshold(17.0%);low_volume(<1000000),AG,18.46,17.9,17.99,18.98,17.95,1767981696000,finnhub,,CORE
