Ticker,Flag,Score14d,Score30d,ScoreBlend,Buyers14d,TotalBuy$14d,C_Suite14d,LastBuyAgeDays,Notes,DataQuality
JOBY,NONE,0.0,44.4,13.3,0,0,N,—,Missing txn dates,MED
BBNX,NONE,0.0,0.0,0.0,0,0,N,—,No buys parsed; Missing txn dates,MED
SKWD,NONE,0.0,0.0,0.0,0,0,N,—,No buys parsed; Missing txn dates,MED
HP,NONE,0.0,0.0,0.0,0,0,N,—,No buys parsed; Missing txn dates,MED
CRWV,NONE,0.0,0.0,0.0,0,0,N,—,No buys parsed; Missing txn dates,MED
