Rank,Ticker,Ct7,Ct14,Ct30,Ct60,Ct90,MostRecent(ET),CIK,Status
1,RBRK,0,0,8,9,9,2026-01-16 20:00,0001943896,ERROR
2,TSSI,0,0,8,8,8,2026-01-16 20:40,0001320760,ERROR
3,NTRA,0,0,6,6,6,2026-01-16 21:05,0001604821,ERROR
4,MOFG,0,0,5,5,5,2026-01-16 21:37,0001412665,ERROR
5,NSPR,0,0,0,10,10,2026-01-16 18:12,0001433607,ERROR
6,DTST,0,0,0,10,10,2026-01-16 17:35,0001419951,ERROR
7,WTW,0,0,0,9,9,2026-01-16 17:41,0001140536,ERROR
8,JPM,0,0,0,8,8,2026-01-16 18:02,0000019617,ERROR
9,ADBE,0,0,0,7,7,2026-01-16 18:26,0000796343,ERROR
10,LEG,0,0,0,2,15,2026-01-16 17:07,0000058492,ERROR
11,RRX,0,0,0,0,19,2026-01-16 16:43,0000082811,ERROR
12,SRE,0,0,0,6,6,2026-01-16 18:48,0001032208,ERROR
13,ZWS,0,0,0,6,6,2026-01-16 17:51,0001439288,ERROR
14,OLP,0,0,0,0,17,2026-01-16 16:25,0000712770,ERROR
15,FLEX,0,0,2,2,2,2026-01-16 20:52,0000866374,ERROR
16,EXEL,0,0,0,4,4,2026-01-16 19:03,0000939767,ERROR
17,SST,0,0,0,4,4,2026-01-16 18:30,0001805833,ERROR
18,PKST,0,0,0,4,4,2026-01-16 18:10,0001600626,ERROR
19,MS,0,0,0,0,10,2026-01-16 16:41,0000895421,ERROR
20,KTOS,0,0,0,3,3,2026-01-16 18:55,0001069258,ERROR
21,EA,0,0,0,3,3,2026-01-16 18:30,0000712515,ERROR
22,ASST,0,0,0,3,3,2026-01-16 18:06,0001920406,ERROR
23,INSW,0,0,0,3,3,2026-01-16 18:03,0001679049,ERROR
24,PYPL,0,0,0,2,5,2026-01-16 17:34,0001633917,ERROR
25,UPST,0,0,0,3,3,2026-01-16 17:27,0001647639,ERROR
