symbol,% vs close,price,source
HOVR,+1.85%,1.65,finnhub
CATO,+0.29%,3.50,finnhub
KRMD,+2.07%,5.92,finnhub
DENN,+0.00%,6.17,finnhub
DDL,—,—,—
