Rank,Ticker,Form4Ct,MostRecentUTC,CIK,Status
1,BRT,17,2026-01-13T23:21:50Z,0000014846,OK
2,STAG,16,2026-01-12T22:09:16Z,0001479094,OK
3,ADT,14,2026-01-12T22:12:21Z,0001703056,OK
4,CALM,13,2026-01-14T21:35:47Z,0000016160,OK
5,XRAY,13,2026-01-13T21:39:32Z,0000818479,OK
6,VSNT,13,2026-01-12T23:18:49Z,0002067876,OK
7,LKFN,11,2026-01-14T21:51:22Z,0000721994,OK
8,ZYME,11,2026-01-13T22:11:03Z,0001937653,OK
9,TRC,10,2026-01-13T22:09:10Z,0000096869,OK
10,MAIN,10,2026-01-13T21:30:46Z,0001396440,OK
11,CBT,10,2026-01-12T22:00:13Z,0000016040,OK
12,WTW,9,2026-01-14T21:09:02Z,0001140536,OK
13,SWX,9,2026-01-14T02:42:18Z,0001692115,OK
14,PRAX,9,2026-01-14T01:20:33Z,0001689548,OK
15,RL,9,2026-01-13T21:14:03Z,0001037038,OK
16,LSTA,9,2026-01-13T21:09:54Z,0000320017,OK
17,STLD,9,2026-01-12T21:31:24Z,0001022671,OK
18,MOVE,8,2026-01-14T22:30:11Z,0001734750,OK
19,EXP,8,2026-01-14T22:19:19Z,0000918646,OK
20,SKWD,8,2026-01-14T22:09:56Z,0001519449,OK
21,HTGC,8,2026-01-13T23:46:29Z,0001280784,OK
22,COCP,8,2026-01-13T22:03:55Z,0001412486,OK
23,LQDA,8,2026-01-13T21:36:48Z,0001819576,OK
24,EHAB,8,2026-01-13T01:51:15Z,0001803737,OK
25,LEG,8,2026-01-12T22:18:46Z,0000058492,OK
