Ticker,SurgePct,RefType,RefPrice,Price,Volume,DollarVolume,SpreadPct,OptionsEligible,Timestamp,Age,Reason,symbol,price,prev_close,open,high,low,ts_ms,source,error,category
VIX,,,,,,,,,,,missing price/change,VIX,,,,,,,,no_price,CORE
INTU,,,,,,,,,,,missing price/change,INTU,,,,,,,,http 429,ADDON_RANDOM
F,,,,,,,,,,,missing price/change,F,,,,,,,,http 429,ADDON_RANDOM
XLE,,,,,,,,,,,missing price/change,XLE,,,,,,,,http 429,ADDON_RANDOM
OPEN,13.37,pc,6.43,7.29,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),OPEN,7.29,6.43,7.095,7.92,7.08,1767992400000,finnhub,,CORE
INTC,10.8,pc,41.11,45.55,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),INTC,45.55,41.11,41.825,45.7265,41.57,1767992400000,finnhub,,CORE
MU,5.79,low,326.19,345.09,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),MU,345.09,327.02,332.745,345.8,326.19,1767992400000,finnhub,,CORE
AG,5.64,pc,17.9,18.91,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),AG,18.91,17.9,18.24,18.98,17.95,1767992400000,finnhub,,CORE
ORCL,5.16,low,188.78,198.52,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),ORCL,198.52,189.65,191.655,200.18,188.78,1767992400000,finnhub,,CORE
INSM,4.12,low,169.0,175.97,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),INSM,175.97,170.27,185.02,186.19,169.0,1767992400000,finnhub,,CORE
SLV,3.83,pc,69.71,72.38,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),SLV,72.38,69.71,71.31,72.99,70.8713,1767992400000,finnhub,,CORE
AVGO,3.76,pc,332.48,344.97,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),AVGO,344.97,332.48,337.92,347.39,333.5,1767992400000,finnhub,,CORE
TSLA,3.4,low,430.39,445.01,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),TSLA,445.01,435.8,435.945,449.05,430.39,1767992400000,finnhub,,CORE
BA,3.14,pc,227.38,234.53,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),BA,234.53,227.38,228.34,235.135,228.3,1767992400000,finnhub,,CORE
NKE,2.36,low,64.4,65.92,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),NKE,65.92,65.26,65.11,66.54,64.4,1767992400000,finnhub,,CORE
GE,2.27,pc,314.44,321.59,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),GE,321.59,314.44,317.105,322.3,315.19,1767992400000,finnhub,,CORE
AMZN,2.12,low,242.24,247.38,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),AMZN,247.38,246.29,244.568,247.86,242.24,1767992400000,finnhub,,CORE
TMUS,2.12,low,196.4,200.56,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),TMUS,200.56,197.91,196.48,202.05,196.4,1767992400000,finnhub,,ADDON_RANDOM
CHPT,2.07,low,6.76,6.9,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),CHPT,6.9,7.03,7.135,7.1743,6.76,1767992400000,finnhub,,CORE
SLB,2.05,low,44.29,45.2,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),SLB,45.2,44.43,44.78,45.24,44.29,1767992400000,finnhub,,CORE
KO,2.01,low,69.12,70.51,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),KO,70.51,69.37,69.43,70.66,69.12,1767992400000,finnhub,,CORE
HON,1.9,low,203.51,207.38,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),HON,207.38,205.24,204.65,208.74,203.51,1767992400000,finnhub,,CORE
CVX,1.8,pc,159.25,162.11,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),CVX,162.11,159.25,160.56,162.7,159.935,1767992400000,finnhub,,CORE
QCOM,1.7,low,174.8,177.78,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),QCOM,177.78,181.87,178.12,179.44,174.8,1767992400000,finnhub,,CORE
META,1.59,low,642.85,653.06,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),META,653.06,646.06,645.435,654.95,642.85,1767992400000,finnhub,,CORE
PLTR,1.57,low,174.75,177.49,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),PLTR,177.49,176.86,177.02,178.72,174.75,1767992400000,finnhub,,CORE
CAT,1.56,pc,608.13,617.62,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),CAT,617.62,608.13,609.97,619.15,608.2,1767992400000,finnhub,,CORE
COIN,1.53,low,237.15,240.78,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),COIN,240.78,245.59,246.07,246.9,237.15,1767992400000,finnhub,,CORE
MSFT,1.5,low,472.2001,479.28,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),MSFT,479.28,478.11,474.06,479.82,472.2001,1767992400000,finnhub,,CORE
COST,1.49,low,911.33,924.88,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),COST,924.88,915.31,915.97,929.8499,911.33,1767992400000,finnhub,,CORE
CRWD,1.45,pc,463.87,470.61,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),CRWD,470.61,463.87,472.19,475.98,466.25,1767992400000,finnhub,,CORE
XOM,1.38,pc,122.91,124.61,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),XOM,124.61,122.91,123.23,124.86,123.095,1767992400000,finnhub,,CORE
NFLX,1.29,low,88.32,89.46,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),NFLX,89.46,90.53,90.03,90.05,88.32,1767992400000,finnhub,,CORE
AAPL,1.23,low,256.22,259.37,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),AAPL,259.37,259.04,259.075,260.21,256.22,1767992400000,finnhub,,CORE
QQQ,1.23,low,619.06,626.65,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),QQQ,626.65,620.47,621.41,627.89,619.06,1767992400000,finnhub,,CORE
PFE,0.99,low,25.23,25.48,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),PFE,25.48,25.29,25.34,25.55,25.23,1767992400000,finnhub,,CORE
ABNB,0.99,low,137.91,139.27,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),ABNB,139.27,138.66,140.005,141.4,137.91,1767992400000,finnhub,,ADDON_RANDOM
GOOGL,0.96,pc,325.44,328.57,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),GOOGL,328.57,325.44,327.09,330.83,325.8,1767992400000,finnhub,,CORE
MS,0.89,pc,184.68,186.32,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),MS,186.32,184.68,185.695,186.92,185.04,1767992400000,finnhub,,CORE
MCD,0.89,low,304.6,307.32,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),MCD,307.32,308.88,309.04,309.52,304.6,1767992400000,finnhub,,CORE
PEP,0.87,low,138.7,139.91,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),PEP,139.91,139.37,139.44,140.79,138.7,1767992400000,finnhub,,CORE
IWM,0.83,low,258.09,260.23,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),IWM,260.23,258.27,259.58,261.56,258.09,1767992400000,finnhub,,CORE
BBAI,0.81,low,6.15,6.2,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),BBAI,6.2,6.17,6.24,6.51,6.15,1767992400000,finnhub,,CORE
IBM,0.74,low,302.0,304.22,,,,N,2026-01-11T23:52:02Z,24s,price_out_of_range(1.0-200.0);below_threshold(17.0%);low_volume(<1000000),IBM,304.22,302.72,302.61,307.0,302.0,1767992400000,finnhub,,CORE
PG,0.74,low,140.83,141.87,,,,N,2026-01-11T23:52:02Z,24s,below_threshold(17.0%);low_volume(<1000000),PG,141.87,141.53,141.7,142.33,140.83,1767992400000,finnhub,,CORE
