Rank,Ticker,Form4Ct,MostRecentUTC,CIK,Status
1,BLK,25,2026-01-22T00:38:33Z,0002012383,OK
2,JPM,22,2026-01-22T22:03:43Z,0000019617,OK
3,MATX,17,2026-01-23T02:18:41Z,0000003453,OK
4,GS,16,2026-01-21T21:43:46Z,0000886982,OK
5,FYBR,15,2026-01-22T21:02:02Z,0000020520,OK
6,PGR,15,2026-01-22T18:05:56Z,0000080661,OK
7,NIC,14,2026-01-21T22:27:18Z,0001174850,OK
8,GALT,13,2026-01-22T19:11:05Z,0001133416,OK
9,PPL,11,2026-01-21T21:15:11Z,0000922224,OK
10,TARA,10,2026-01-22T21:30:26Z,0001359931,OK
11,ERIE,10,2026-01-22T20:41:01Z,0000922621,OK
12,FUL,10,2026-01-22T17:43:06Z,0000039368,OK
13,RBCAA,10,2026-01-22T15:23:22Z,0000921557,OK
14,NYT,10,2026-01-21T22:46:38Z,0000071691,OK
15,TBN,10,2026-01-21T21:30:31Z,0001997652,OK
16,COLB,9,2026-01-22T23:13:06Z,0000887343,OK
17,ITGR,9,2026-01-22T01:53:09Z,0001114483,OK
18,LQDA,9,2026-01-21T23:28:30Z,0001819576,OK
19,PCH,9,2026-01-21T14:00:14Z,0001338749,OK
20,CMCSA,8,2026-01-23T00:56:52Z,0001166691,OK
21,AMAL,8,2026-01-23T00:48:34Z,0001823608,OK
22,RBB,8,2026-01-23T00:45:55Z,0001499422,OK
23,CABA,8,2026-01-21T23:56:58Z,0001759138,OK
24,AIT,8,2026-01-21T21:23:38Z,0000109563,OK
25,APLS,8,2026-01-21T21:19:30Z,0001492422,OK
